I1031 16:27:18.608281 10785 convert_annoset.cpp:122] A total of 64115 images.
I1031 16:27:18.612852 10785 db_lmdb.cpp:35] Opened lmdb /home/wangjilong/data/coco/lmdb/coco_train_lmdb
I1031 17:16:58.027952 10785 convert_annoset.cpp:195] Processed 41000 files.
I1031 17:18:15.967917 10785 convert_annoset.cpp:195] Processed 42000 files.
I1031 17:19:35.209576 10785 convert_annoset.cpp:195] Processed 43000 files.
I1031 17:20:53.927846 10785 convert_annoset.cpp:195] Processed 44000 files.
I1031 17:22:12.481670 10785 convert_annoset.cpp:195] Processed 45000 files.
I1031 17:23:31.331151 10785 convert_annoset.cpp:195] Processed 46000 files.
I1031 17:24:49.624614 10785 convert_annoset.cpp:195] Processed 47000 files.
I1031 17:26:07.046860 10785 convert_annoset.cpp:195] Processed 48000 files.
I1031 17:27:24.687623 10785 convert_annoset.cpp:195] Processed 49000 files.
I1031 17:28:42.225575 10785 convert_annoset.cpp:195] Processed 50000 files.
I1031 17:30:01.886162 10785 convert_annoset.cpp:195] Processed 51000 files.
I1031 17:31:19.542896 10785 convert_annoset.cpp:195] Processed 52000 files.
I1031 17:32:38.188144 10785 convert_annoset.cpp:195] Processed 53000 files.
I1031 17:33:55.649420 10785 convert_annoset.cpp:195] Processed 54000 files.
I1031 17:35:13.343261 10785 convert_annoset.cpp:195] Processed 55000 files.
I1031 17:36:31.160296 10785 convert_annoset.cpp:195] Processed 56000 files.
I1031 17:37:49.185973 10785 convert_annoset.cpp:195] Processed 57000 files.
I1031 17:39:08.329969 10785 convert_annoset.cpp:195] Processed 58000 files.
I1031 17:40:26.016417 10785 convert_annoset.cpp:195] Processed 59000 files.
I1031 17:41:45.186712 10785 convert_annoset.cpp:195] Processed 60000 files.
I1031 17:43:02.200354 10785 convert_annoset.cpp:195] Processed 61000 files.
I1031 17:44:19.698992 10785 convert_annoset.cpp:195] Processed 62000 files.
I1031 17:45:37.110285 10785 convert_annoset.cpp:195] Processed 63000 files.
I1031 17:46:55.622529 10785 convert_annoset.cpp:195] Processed 64000 files.
I1031 17:47:04.537961 10785 convert_annoset.cpp:201] Processed 64115 files.
/home/wangjilong/pedestrian/RefineDet/build/tools/convert_annoset --anno_type=detection --label_type=json --label_map_file=/home/wangjilong/pedestrian/RefineDet/data/coco/../../data/coco/labelmap_coco.prototxt --check_label=True --min_dim=0 --max_dim=0 --resize_height=0 --resize_width=0 --backend=lmdb --shuffle=False --check_size=False --encode_type=jpg --encoded=True --gray=False /home/wangjilong/data/coco/ /home/wangjilong/pedestrian/RefineDet/data/coco/../../data/coco/train.txt /home/wangjilong/data/coco/lmdb/coco_train_lmdb
